2008_2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
System SW,"('data', 0.6349206349206349)",Application SW,"('image', 0.14166666666666666)",Application SW,"('recognition', 0.014778325123152709)",Application SW,"('image', 0.03206997084548105)",Application SW,"('image', 0.06143344709897611)",Application SW,"('image', 0.09309623430962342)",Application SW,"('image', 0.08665906499429875)",Application SW,"('image', 0.07118412046543464)"
System SW,"('data', 0.6349206349206349)",System SW,"('distributed', 0.06666666666666667)",System SW,"('data', 0.08374384236453201)",Application SW,"('recognition', 0.043731778425655975)",Application SW,"('recognition', 0.03754266211604096)",Application SW,"('recognition', 0.06589958158995815)",Application SW,"('recognition', 0.05131128848346636)",Application SW,"('recognition', 0.061601642710472276)"
System SW,"('test', 0.30952380952380953)",,,System SW,"('data', 0.08374384236453201)",System SW,"('os', 0.023323615160349854)",Application SW,"('conversational', 0.015358361774744027)",Application SW,"('conversational', 0.007322175732217572)",Application SW,"('conversational', 0.005131128848346636)",Social-based industry,"('medical', 0.021218343600273786)"
,,,,System SW,"('tool', 0.11330049261083744)",System SW,"('data', 0.12244897959183673)",System SW,"('data', 0.1621160409556314)",System SW,"('os', 0.012552301255230124)",Social-based industry,"('medical', 0.004561003420752566)",System SW,"('os', 0.0054757015742642025)"
,,,,System SW,"('security', 0.10837438423645321)",System SW,"('data', 0.12244897959183673)",System SW,"('data', 0.1621160409556314)",System SW,"('data', 0.15794979079497906)",System SW,"('data', 0.10205245153933866)",System SW,"('data', 0.08418891170431211)"
,,,,System SW,"('prevention', 0.04433497536945813)",System SW,"('system', 0.07871720116618075)",System SW,"('big-data', 0.08361774744027303)",System SW,"('data', 0.15794979079497906)",System SW,"('data', 0.10205245153933866)",System SW,"('data', 0.08418891170431211)"
,,,,,,System SW,"('test', 0.029154518950437316)",System SW,"('system', 0.027303754266211604)",System SW,"('big-data', 0.024058577405857737)",System SW,"('big-data', 0.019954389965792477)",System SW,"('system', 0.006844626967830253)"
,,,,,,System SW,"('development', 0.037900874635568516)",System SW,"('integration', 0.015358361774744027)",System SW,"('system', 0.02092050209205021)",System SW,"('system', 0.02394526795895097)",System SW,"('integration', 0.006160164271047228)"
,,,,,,System SW,"('tool', 0.02040816326530612)",System SW,"('development', 0.05460750853242321)",System SW,"('test', 0.02719665271966527)",System SW,"('integration', 0.024515393386545042)",System SW,"('test', 0.013689253935660506)"
,,,,,,System SW,"('parallel', 0.03206997084548105)",System SW,"('tool', 0.06825938566552901)",System SW,"('tool', 0.04707112970711297)",System SW,"('archiving', 0.019954389965792477)",System SW,"('development', 0.007529089664613279)"
,,,,,,,,System SW,"('real-time', 0.06143344709897611)",System SW,"('security', 0.010460251046025104)",System SW,"('test', 0.00798175598631699)",System SW,"('tool', 0.01574264202600958)"
,,,,,,,,System SW,"('distributed', 0.059726962457337884)",System SW,"('real-time', 0.02615062761506276)",System SW,"('development', 0.010832383124287344)",System SW,"('resource', 0.0054757015742642025)"
,,,,,,,,System SW,"('parallel', 0.020477815699658702)",System SW,"('distributed', 0.04916317991631799)",System SW,"('tool', 0.027936145952109463)",System SW,"('real-time', 0.05201916495550992)"
,,,,,,,,,,System SW,"('cloud', 0.05439330543933054)",System SW,"('security', 0.009122006841505131)",System SW,"('distributed', 0.0513347022587269)"
,,,,,,,,,,System SW,"('parallel', 0.006276150627615062)",System SW,"('real-time', 0.03078677309007982)",System SW,"('cloud', 0.012320328542094456)"
,,,,,,,,,,,,System SW,"('distributed', 0.030216647662485746)",System SW,"('parallel', 0.01574264202600958)"
,,,,,,,,,,,,System SW,"('cloud', 0.012542759407069556)",,
,,,,,,,,,,,,System SW,"('parallel', 0.013112884834663626)",,
