bot_id,bot_name
4502793,liferay-continuous-integration
19940114,codacy-bot
9287708,msftclas
2539292,wmfgerrit
12551979,k8s-bot
5243949,asfbot
7806257,miq-bot
1779249,openshift-bot
3372342,bors
903479,openstack-gerrit
4031291,AmplabJenkins
1341245,asfgit
14790466,greenkeeperio-bot
10212162,homu
1386314,llvm-mirror
1075274,twinaphex
23040076,greenkeeper[bot]
8361299,Alex-302
924247,KhanBugz
1399657,nthiebaud
10377331,jsql-robot
4170616,cmsbuild
8566911,gopherbot
1512325,tyl0re
57483,tmtmtmtm
5384588,googlebot
6313872,reporobot
7779494,jujubot
480938,hubot
8655789,codecov-io
4030126,pgraves5
939955,wildfly-ci
5095603,gnomesysadmins
2354108,coveralls
8108735,SparkQA
13653959,k8s-merge-robot
47313,fabpot
6422482,facebook-github-bot
6697940,houndci-bot
6697940,houndci
12693984,everypoliticianbot
20407524,k8s-ci-robot
227303,uqs
15710697,mention-bot
7593710,nrel-bot
22429695,codecov[bot]
